Fri Oct 25 05:56:18 PM UTC 2024
10-25-2024 10:56:30 RAM 7937/30698MB (lfb 78x4MB) SWAP 0/15349MB (cached 0MB) CPU [7%@729,6%@729,5%@729,2%@2201,3%@729,3%@729,4%@729,5%@729,6%@2201,0%@2201,94%@2201,2%@2201] GR3D_FREQ 71% cpu@42.343C tboard@30.5C soc2@38.375C tdiode@35.375C soc0@38.968C tj@42.343C soc1@38.375C VDD_GPU_SOC 5961mW/2682mW VDD_CPU_CV 2385mW/1954mW VIN_SYS_5V0 4622mW/3464mW VDDQ_VDD2_1V8AO 1708mW/994mW
10-25-2024 10:56:31 RAM 7937/30698MB (lfb 78x4MB) SWAP 0/15349MB (cached 0MB) CPU [5%@2201,4%@2201,34%@2201,4%@2201,1%@729,3%@729,4%@729,5%@729,4%@729,2%@729,68%@729,2%@729] GR3D_FREQ 71% cpu@42.531C tboard@30.5C soc2@38.531C tdiode@35.375C soc0@38.843C tj@42.531C soc1@38.468C VDD_GPU_SOC 5961mW/2934mW VDD_CPU_CV 2385mW/1987mW VIN_SYS_5V0 4622mW/3553mW VDDQ_VDD2_1V8AO 1708mW/1049mW
10-25-2024 10:56:32 RAM 7939/30698MB (lfb 78x4MB) SWAP 0/15349MB (cached 0MB) CPU [3%@729,2%@729,72%@729,13%@729,2%@729,2%@729,6%@729,3%@729,4%@2201,3%@2201,4%@2201,19%@2201] GR3D_FREQ 62% cpu@42.687C tboard@30.5C soc2@38.5C tdiode@35.375C soc0@38.937C tj@42.687C soc1@38.281C VDD_GPU_SOC 5961mW/3150mW VDD_CPU_CV 2385mW/2016mW VIN_SYS_5V0 4622mW/3629mW VDDQ_VDD2_1V8AO 1708mW/1096mW
10-25-2024 10:56:33 RAM 7939/30698MB (lfb 78x4MB) SWAP 0/15349MB (cached 0MB) CPU [5%@729,3%@729,3%@729,3%@729,2%@729,2%@729,5%@729,9%@729,4%@729,2%@729,2%@729,99%@729] GR3D_FREQ 58% cpu@42.843C tboard@30.5C soc2@38.531C tdiode@35.375C soc0@39C tj@42.843C soc1@38.437C VDD_GPU_SOC 5961mW/3338mW VDD_CPU_CV 2385mW/2040mW VIN_SYS_5V0 4622mW/3695mW VDDQ_VDD2_1V8AO 1708mW/1137mW
10-25-2024 10:56:34 RAM 7935/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [4%@729,3%@729,5%@729,3%@729,3%@729,6%@729,11%@729,4%@729,17%@2201,45%@2201,7%@2201,39%@2201] GR3D_FREQ 57% cpu@42.812C tboard@30.625C soc2@38.593C tdiode@35.375C soc0@38.937C tj@42.812C soc1@38.687C VDD_GPU_SOC 5961mW/3502mW VDD_CPU_CV 2783mW/2087mW VIN_SYS_5V0 4622mW/3753mW VDDQ_VDD2_1V8AO 1708mW/1173mW
10-25-2024 10:56:35 RAM 7936/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [4%@729,6%@729,3%@729,1%@729,2%@729,1%@729,3%@729,5%@729,3%@2201,100%@2201,3%@2201,4%@2201] GR3D_FREQ 60% cpu@42.843C tboard@30.625C soc2@38.656C tdiode@35.5C soc0@39.062C tj@42.843C soc1@38.5C VDD_GPU_SOC 5961mW/3646mW VDD_CPU_CV 2386mW/2104mW VIN_SYS_5V0 4622mW/3804mW VDDQ_VDD2_1V8AO 1708mW/1204mW
10-25-2024 10:56:36 RAM 7935/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [4%@729,5%@729,4%@729,1%@729,3%@729,2%@729,0%@729,0%@729,48%@2201,53%@2201,1%@2201,6%@2201] GR3D_FREQ 59% cpu@42.875C tboard@30.625C soc2@38.656C tdiode@35.625C soc0@39.125C tj@42.875C soc1@38.625C VDD_GPU_SOC 5961mW/3775mW VDD_CPU_CV 2784mW/2142mW VIN_SYS_5V0 4622mW/3850mW VDDQ_VDD2_1V8AO 1705mW/1232mW
10-25-2024 10:56:37 RAM 7936/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [3%@729,2%@729,8%@729,1%@729,15%@2201,2%@2201,1%@2201,2%@2201,69%@729,22%@729,8%@729,2%@729] GR3D_FREQ 66% cpu@43.718C tboard@30.625C soc2@38.812C tdiode@35.625C soc0@39C tj@43.718C soc1@38.687C VDD_GPU_SOC 5961mW/3890mW VDD_CPU_CV 2386mW/2155mW VIN_SYS_5V0 4622mW/3890mW VDDQ_VDD2_1V8AO 1708mW/1257mW
10-25-2024 10:56:38 RAM 7935/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [5%@2201,1%@2201,5%@2201,1%@2201,71%@2201,2%@2201,32%@2201,1%@2201,4%@729,3%@729,8%@729,6%@729] GR3D_FREQ 58% cpu@43.187C tboard@30.625C soc2@38.812C tdiode@35.625C soc0@39.125C tj@43.187C soc1@38.562C VDD_GPU_SOC 5961mW/3993mW VDD_CPU_CV 2385mW/2166mW VIN_SYS_5V0 4622mW/3927mW VDDQ_VDD2_1V8AO 1708mW/1279mW
10-25-2024 10:56:39 RAM 7936/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [7%@729,3%@729,6%@729,1%@729,0%@2201,27%@2201,75%@2201,0%@2201,6%@729,2%@729,4%@729,7%@729] GR3D_FREQ 59% cpu@43.343C tboard@30.75C soc2@38.718C tdiode@35.75C soc0@39.25C tj@43.343C soc1@38.718C VDD_GPU_SOC 6361mW/4106mW VDD_CPU_CV 2386mW/2177mW VIN_SYS_5V0 4521mW/3955mW VDDQ_VDD2_1V8AO 1708mW/1300mW
10-25-2024 10:56:40 RAM 7938/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [19%@2201,39%@2201,25%@2201,11%@2201,3%@729,14%@729,3%@729,7%@729,4%@729,3%@729,2%@729,10%@729] GR3D_FREQ 59% cpu@43.25C tboard@30.75C soc2@38.968C tdiode@35.75C soc0@39.093C tj@43.25C soc1@38.656C VDD_GPU_SOC 5961mW/4190mW VDD_CPU_CV 2386mW/2186mW VIN_SYS_5V0 4622mW/3985mW VDDQ_VDD2_1V8AO 1708mW/1318mW
10-25-2024 10:56:41 RAM 7939/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [27%@2201,2%@2201,5%@2201,2%@2201,5%@2201,32%@2201,2%@2201,48%@2201,4%@729,2%@729,3%@729,8%@729] GR3D_FREQ 55% cpu@43.468C tboard@30.75C soc2@38.875C tdiode@35.75C soc0@39.125C tj@43.468C soc1@38.843C VDD_GPU_SOC 5961mW/4267mW VDD_CPU_CV 2385mW/2195mW VIN_SYS_5V0 4622mW/4013mW VDDQ_VDD2_1V8AO 1708mW/1335mW
10-25-2024 10:56:42 RAM 7939/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [5%@729,3%@729,4%@729,2%@729,3%@2201,99%@2201,4%@2201,2%@2201,3%@729,1%@729,4%@729,6%@729] GR3D_FREQ 60% cpu@43.406C tboard@30.75C soc2@38.812C tdiode@35.75C soc0@39.25C tj@43.406C soc1@38.656C VDD_GPU_SOC 5961mW/4338mW VDD_CPU_CV 2386mW/2203mW VIN_SYS_5V0 4622mW/4038mW VDDQ_VDD2_1V8AO 1708mW/1351mW
10-25-2024 10:56:43 RAM 7940/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [4%@2201,2%@2201,2%@2201,2%@2201,18%@2201,85%@2201,3%@2201,0%@2201,3%@729,3%@729,3%@729,7%@729] GR3D_FREQ 57% cpu@44C tboard@30.875C soc2@38.843C tdiode@35.875C soc0@39.281C tj@44C soc1@38.75C VDD_GPU_SOC 5961mW/4403mW VDD_CPU_CV 2386mW/2210mW VIN_SYS_5V0 4622mW/4062mW VDDQ_VDD2_1V8AO 1708mW/1365mW
10-25-2024 10:56:44 RAM 7941/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [3%@2201,3%@2201,2%@2201,2%@2201,93%@2201,3%@2201,3%@2201,7%@2201,4%@729,4%@729,4%@729,10%@729] GR3D_FREQ 62% cpu@43.25C tboard@30.875C soc2@38.906C tdiode@35.875C soc0@39.187C tj@43.25C soc1@38.843C VDD_GPU_SOC 5961mW/4463mW VDD_CPU_CV 2386mW/2217mW VIN_SYS_5V0 4622mW/4083mW VDDQ_VDD2_1V8AO 1708mW/1378mW
10-25-2024 10:56:45 RAM 7941/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [4%@729,2%@729,4%@729,2%@729,15%@2201,3%@2201,3%@2201,88%@2201,3%@729,3%@729,2%@729,6%@729] GR3D_FREQ 65% cpu@44.031C tboard@30.875C soc2@39C tdiode@35.875C soc0@39.25C tj@44.031C soc1@38.75C VDD_GPU_SOC 5964mW/4518mW VDD_CPU_CV 2386mW/2223mW VIN_SYS_5V0 4622mW/4103mW VDDQ_VDD2_1V8AO 1708mW/1390mW
10-25-2024 10:56:46 RAM 7913/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [15%@2201,3%@2201,14%@2201,2%@2201,45%@2201,52%@2201,19%@2201,4%@2201,12%@806,8%@806,16%@806,8%@806] GR3D_FREQ 61% cpu@43.718C tboard@30.875C soc2@38.843C tdiode@35.875C soc0@39.343C tj@43.718C soc1@38.812C VDD_GPU_SOC 5964mW/4570mW VDD_CPU_CV 2784mW/2243mW VIN_SYS_5V0 4622mW/4122mW VDDQ_VDD2_1V8AO 1708mW/1402mW
10-25-2024 10:56:47 RAM 7907/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [9%@2201,7%@2201,27%@2201,55%@2201,4%@729,14%@729,52%@729,2%@729,9%@729,24%@729,22%@729,22%@729] GR3D_FREQ 67% cpu@43.625C tboard@30.875C soc2@38.937C tdiode@35.875C soc0@39.375C tj@43.625C soc1@38.843C VDD_GPU_SOC 5964mW/4618mW VDD_CPU_CV 3182mW/2275mW VIN_SYS_5V0 4722mW/4142mW VDDQ_VDD2_1V8AO 1708mW/1412mW
10-25-2024 10:56:48 RAM 7908/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [6%@729,6%@729,4%@729,83%@729,7%@729,1%@729,0%@729,1%@729,17%@2201,2%@2201,2%@2201,1%@2201] GR3D_FREQ 60% cpu@43.093C tboard@31C soc2@39C tdiode@36C soc0@39.343C tj@43.093C soc1@38.75C VDD_GPU_SOC 5964mW/4663mW VDD_CPU_CV 2386mW/2279mW VIN_SYS_5V0 4622mW/4158mW VDDQ_VDD2_1V8AO 1708mW/1422mW
10-25-2024 10:56:49 RAM 7908/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [7%@729,6%@729,4%@729,4%@729,40%@2201,2%@2201,5%@2201,5%@2201,54%@729,10%@729,0%@729,2%@729] GR3D_FREQ 58% cpu@44.218C tboard@31C soc2@39.062C tdiode@35.875C soc0@39.437C tj@44.218C soc1@38.906C VDD_GPU_SOC 5964mW/4705mW VDD_CPU_CV 2386mW/2282mW VIN_SYS_5V0 4622mW/4173mW VDDQ_VDD2_1V8AO 1705mW/1431mW
10-25-2024 10:56:50 RAM 7908/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [4%@729,2%@729,4%@729,6%@729,100%@2201,2%@2201,4%@2201,4%@2201,2%@729,1%@729,1%@729,3%@729] GR3D_FREQ 56% cpu@44.125C tboard@31C soc2@39.125C tdiode@36C soc0@39.375C tj@44.125C soc1@39C VDD_GPU_SOC 5964mW/4744mW VDD_CPU_CV 2386mW/2286mW VIN_SYS_5V0 4622mW/4187mW VDDQ_VDD2_1V8AO 1705mW/1440mW
